,D1,D2,DAT,NET,5HT1A,5HT1B,5HT2A,5HT4,5HT6,5HTT,a4b2,M1,vAChT,NMDA,mGluR5,GABAA/BZ,H3,CB1,MOR
ctx-lh-bankssts,0.3212929882,0.168741608,0.1630947998,0.2458796874,0.9374726164,0.7277320481,1.081975968,0.7824799929,1.003296696,0.2405484753,-0.1698399111,0.4357380267,-0.008108763233,0.7717051888,0.6850593205,0.644745226,-0.2497679126,0.2036237373,0.3007271186
ctx-lh-caudalanteriorcingulate,0.6355267707,-0.06244384486,0.3616021681,0.3758647959,0.3968088777,0.6591958049,0.3311936383,0.2105228393,0.2174447251,0.4530933787,-0.08349259394,0.1410448584,0.3206503101,0.3718550129,0.8427946002,0.3039261691,0.893561252,0.611057598,1.130334158
ctx-lh-caudalmiddlefrontal,-0.01655832925,-0.2274338139,-0.1477033724,0.110361001,0.2856252612,0.8585698798,0.7264717159,0.2861234848,0.4261432924,-0.05900875612,0.3940940972,0.3677743047,-0.1821045646,0.3274575679,0.538446071,0.5111608369,0.2681202281,0.2696315854,0.5630570641
ctx-lh-cuneus,0.5501042491,-0.2577366584,0.04998484255,0.617592764,0.1729628896,1.048648232,0.9639623728,0.3362662631,0.9982776711,0.5583091832,-0.3113104092,1.015923145,-0.2111239625,0.8231397279,0.767999591,1.270315526,0.0590244369,-0.4298870712,-1.070666774
ctx-lh-entorhinal,0.1309592445,0.2400879555,0.3632365617,-0.8356205913,2.380098885,-0.663958528,0.4080308186,0.9645265173,-0.1328683366,1.594206021,-0.9208804649,0.1795156913,-0.007818155118,0.04530091418,0.1920073467,-0.2151144132,-0.3489590451,0.3423083933,0.4825418509
ctx-lh-fusiform,0.5302710445,0.285311985,0.2030877194,0.1071946639,1.250045785,0.1066644074,0.9737082847,0.6440174359,0.5910941867,0.3727931909,-0.2558514924,0.5782371708,-0.1258063929,0.7098729641,0.5851727735,0.7524180945,-0.06188668779,0.533513509,0.2097684289
ctx-lh-inferiorparietal,-0.02247456006,0.03438544678,-0.3946369733,-0.03723454942,0.2665556093,0.4699173597,1.033676378,0.7332092594,0.3298716425,0.06319404444,-0.07638865523,0.7118021719,-0.2481956118,0.3381097953,0.7460371366,0.5630631081,-0.06923559391,0.6241558213,0.1233022016
ctx-lh-inferiortemporal,0.323906166,0.4980822277,-0.0009658888383,0.1219193167,1.196117786,0.2380182587,1.405162941,1.051228499,0.7222016637,0.1716087046,-0.3318174575,0.6714292787,-0.2041138953,0.6874423343,0.6951771732,0.5904674073,-0.1542164271,0.664381589,0.6581612211
ctx-lh-isthmuscingulate,0.5673855737,-0.4317423976,0.1567569427,-0.3488505945,0.206861831,0.05092170342,0.5889848587,0.3073044267,-0.2322423082,0.3117557715,-0.6649367333,0.08549752228,-0.0836254916,0.4604278371,0.4615667532,0.5029232859,-0.2351284642,-0.4978558891,-0.2602374457
ctx-lh-lateraloccipital,-0.2965661502,-0.1447360157,-0.3466448467,0.2680976568,-0.07598629999,0.3394550943,0.8835544817,0.3855772016,0.3556296471,0.194304996,-0.3467527192,0.7252137311,-0.3294693994,0.2593183437,0.4474356373,0.7553188345,-0.2161524289,0.06443773378,-0.8778019219
ctx-lh-lateralorbitofrontal,0.5231852362,0.04604085925,0.1669576521,-0.2050194523,0.5988259951,0.4244897513,1.008300694,0.5597155718,0.1447893028,0.4495127029,-0.2430531603,0.3690602961,0.02570761747,0.8928676828,0.606870492,0.3105654537,0.3023373141,0.5603988681,0.9418056697
ctx-lh-lingual,0.50216136,-0.3260862898,0.1089628878,-0.0680797608,0.181888506,0.8824286757,0.9971801768,0.3486324127,0.2207672165,0.5062999596,-0.6170497461,0.4342595573,-0.225342454,0.6879477726,0.3786221082,1.10118684,-0.3146816859,-0.5208518556,-0.9875934193
ctx-lh-medialorbitofrontal,1.052635367,0.3229545808,0.5208364044,0.01215620638,0.9248983127,0.621723174,0.5688276956,0.3736916769,0.2206436845,0.3831831889,-0.1852305223,0.6168805291,0.3638340596,0.7389600322,0.8216779232,0.4561459359,1.15958482,0.8294275222,1.206899086
ctx-lh-middletemporal,0.3110746052,0.5532218648,-0.07798543229,0.3251142461,0.9560999484,0.4140620614,1.392870047,1.050128211,0.783636697,0.2089822287,-0.1882918579,0.9173116957,-0.1594022287,0.6766500823,0.9702736566,0.4611493747,-0.01697840573,0.9476621806,0.6809568743
