,D1,D2,DAT,NET,5HT1A,5HT1B,5HT2A,5HT4,5HT6,5HTT,a4b2,M1,vAChT,NMDA,mGluR5,GABAA/BZ,H3,CB1,MOR
ctx_rh_S_front_middle,0.5025975732,-0.06197307577,0.03285386338,0.6483972013,0.6724749059,1.217041121,0.6417358762,0.2836542522,0.8291902102,-0.09145545394,0.4321976956,0.6859768542,-0.03307463427,0.6226158017,0.7700095274,0.6393121557,0.4611827515,0.8485287267,1.017180425
ctx_rh_S_front_sup,0.373296277,-0.2275716527,0.1265097495,0.3739176204,0.3253304539,0.7800783282,0.3928874116,0.0731135817,0.4912291971,-0.2104740005,0.2960596553,0.1798515591,-0.1121387615,0.5393406495,0.4911733656,0.4364966895,0.2082566262,0.07523637524,0.6651712603
ctx_rh_S_interm_prim-Jensen,0.4519508539,0.1727343257,-0.1828606433,0.8160993035,0.8513311694,0.9330189979,0.5920325014,0.381664433,0.8362710039,-0.1511285358,0.3404103563,0.9983882536,-0.08203132587,0.5895687581,0.9372066337,0.2137876194,0.2136464814,0.6906716017,0.7522519775
ctx_rh_S_intrapariet_and_P_trans,0.07857671672,-0.2069963322,0.004028905112,0.4008586727,0.2892143238,0.5115833427,0.4398161703,0.214176257,0.1445697876,-0.1802551588,0.01868238381,0.3575620205,-0.2397058488,0.5834705931,0.3789372677,0.3697388742,-0.3954308548,-0.3606406128,-0.02660090684
ctx_rh_S_oc_middle_and_Lunatus,0.06231965588,-0.1522946747,0.08182865445,0.3460773208,0.5136835798,0.9718403024,0.7923721817,0.4021082903,0.4053962803,-0.004224865349,-0.121833561,0.5483672797,-0.2183230599,0.6070523073,0.3970294697,0.7304509083,-0.4663056281,-0.3286085727,-0.7973948477
ctx_rh_S_oc_sup_and_transversal,-0.0587278504,-0.1390271708,0.04788980762,0.502727244,0.3909243918,0.8653394816,0.43198108,0.1897604843,0.4312376088,-0.08570381349,0.0529843085,0.6510046366,-0.2183801251,0.7595445535,0.4839040271,0.4747980782,-0.3568144926,-0.1952228038,-0.5673280678
ctx_rh_S_occipital_ant,0.2971621006,0.05887528549,0.08544935204,0.1706860569,0.6484913275,0.4268780502,0.7255446606,0.4554838352,0.4786112038,0.04646240443,-0.07211861424,0.639606367,-0.1838759426,0.3410697576,0.7457419752,0.5276775614,-0.2218400069,-0.07002220411,0.06002330886
ctx_rh_S_oc-temp_lat,0.783142638,0.2187041587,0.2727693018,0.02233417002,0.8950185986,0.1269188097,0.7127353515,0.4834080873,0.4798187905,0.01726507073,-0.1493704278,0.253576741,-0.1144495945,0.6734823629,0.3130229105,0.6000666245,-0.5141016795,0.0962128497,0.3006056447
ctx_rh_S_oc-temp_med_and_Lingual,0.8427966293,0.2696898367,0.275433109,-0.003706608217,1.247800254,-0.2137343145,0.7143925715,0.4378258168,0.4882996387,0.3981465546,-0.119291285,0.4850093034,-0.1011699848,0.5662022962,0.3765517863,0.6659631235,-0.07355624243,0.2240665792,-0.1909093366
ctx_rh_S_orbital_lateral,0.6225068598,-0.05388244209,0.07473286259,0.8457799253,0.5821514085,1.30455695,0.6091884567,0.3069246153,0.8595988201,-0.10707914,0.3400947084,0.4474333354,0.02768432545,0.6342024133,0.6540406546,0.8991310015,0.1241308463,0.5175518969,0.9163683726
