,D1,D2,DAT,NET,5HT1A,5HT1B,5HT2A,5HT4,5HT6,5HTT,a4b2,M1,vAChT,NMDA,mGluR5,GABAA/BZ,H3,CB1,MOR
ctx_lh_S_collat_transv_ant,0.4248263118,-0.1003369053,0.1672185126,-0.3130782031,-0.3860471178,-0.180121328,0.2461354612,0.1270449071,0.6670971555,-0.07477415594,-0.4183782824,-0.4589972121,-0.1837478912,0.6008393676,-0.2829529261,0.242366073,-0.391067556,-0.3151985995,0.3448401467
ctx_lh_S_collat_transv_post,-0.6756217607,-0.3652777225,-0.3377891899,0.2316745979,-0.6459476852,1.199898416,0.6251498927,0.2169454689,-0.4003556474,0.05706543401,-0.05303936447,-0.5318683453,-0.2197094435,0.5059688877,-1.04618689,1.047884115,-0.03341134805,0.322556584,-0.9823910577
ctx_lh_S_front_inf,-0.2332474203,0.9687888227,0.1894991176,0.426979577,-0.5591603518,-0.0618974336,0.3399742925,0.07143648651,-0.4285866122,-0.1283084826,0.2738392637,1.417414938,-0.04497567654,0.5146691595,0.05072045152,0.4075324295,-0.07977994022,0.1120116104,0.3082410173
ctx_lh_S_front_middle,-0.5167829092,0.6582986755,0.01541257872,0.5580621937,0.3731373954,-0.4040048079,-0.1303335566,-0.2362712023,-1.447509306,-0.3270128025,0.2100015284,1.429679455,-0.05249133189,0.4623460539,0.2068301647,0.4250098294,-0.08126456553,-0.2191125755,0.5025812643
ctx_lh_S_front_sup,-0.4355098297,1.909066851,-0.06329736123,0.2715262636,0.8048774654,-0.3666638047,0.1953635339,-0.06144078984,-0.5575233177,-0.2833692857,0.3225948472,-0.1953722193,-0.1515707372,0.4853095954,-0.6550378064,0.3208141717,0.229467988,-0.4211174153,0.5653578225
ctx_lh_S_interm_prim-Jensen,1.030666673,-0.9827828471,-0.2367956997,0.8332424011,-0.1613895272,1.6857177,0.4932906084,0.3151534626,1.349194609,-0.2127579819,0.5358960709,-0.6531114952,-0.1215594645,0.8019824521,0.2257908745,0.696359956,0.1860622348,0.1948550506,0.8122753146
ctx_lh_S_intrapariet_and_P_trans,-0.5128284356,0.5665399717,-0.2390185099,0.250591268,-0.6932259358,1.32876489,0.1056806181,-0.04799811315,0.5944434535,-0.3165425945,-0.03308520633,-0.5834619838,-0.2935197416,0.4220055511,0.9042304499,0.135027111,-0.4864004986,0.242904754,-0.272939363
ctx_lh_S_oc_middle_and_Lunatus,-0.7212350166,-0.7063284581,-0.26803767,0.3818040217,1.013582235,2.011315659,0.4390399394,0.1541074158,-0.2137477283,-0.1146888737,-0.04448088441,0.05590155416,-0.2656771484,0.5123400806,0.2049162087,0.7273874604,-0.3828878141,0.1367760909,-0.8959564968
ctx_lh_S_oc_sup_and_transversal,-0.3870296203,-0.5616082564,-0.2732535219,0.3986739367,0.02612811688,2.214081389,0.1501413152,-0.05146898463,0.04474069126,-0.1738354513,-0.05115701206,0.4448466138,-0.2520869437,0.6199154236,0.4249559889,0.5251992854,-0.4315282309,-0.1124686193,-0.9848190484
ctx_lh_S_occipital_ant,-0.6872112669,-0.274187398,-0.307694235,0.240724489,0.9258760161,1.711998334,0.3429644379,0.1215121337,-0.4484547788,-0.1424165446,-0.09255372812,-0.5449283938,-0.1743593063,0.5070743957,1.386055502,0.6702231874,-0.3042139824,0.3083185819,-0.4605465399
ctx_lh_S_oc-temp_lat,-0.31146062,0.2057288564,-0.2219259615,-0.2754708542,-0.489199344,-0.23351595,-0.02203045239,-0.1000810381,-0.1270299488,-0.2977358053,-0.314109722,-0.5688215414,-0.2242285613,0.3328846048,1.003538173,0.6521530221,-0.7189752439,0.1732827795,-0.246557795
ctx_lh_S_oc-temp_med_and_Lingual,-0.2563150937,-0.2129199553,-0.2668427057,-0.03393455247,-0.6734859234,-0.1351761903,0.5571643941,0.289328396,-0.03173202863,0.1917039893,-0.1543256549,-0.5971093718,-0.1495976973,0.6512355537,0.7698643537,0.8257962357,-0.1629080743,0.0322090001,-0.3763762277
ctx_lh_S_orbital_lateral,1.824889037,-0.471429567,-0.07509426429,0.718058235,0.159575361,-0.2571036736,0.2894058438,0.07674147435,-0.2999138843,-0.169540441,0.3665774227,1.611122727,-0.001232865076,0.2755819902,0.7734261155,0.7206940653,-0.09411479926,1.573468429,0.48805871
ctx_lh_S_orbital_med-olfact,-0.1906146465,-0.0168229357,1.203704099,-0.3537898608,0.3636518867,-0.9100731095,0.8270033783,0.5614427436,-0.3807708001,0.5524793696,-0.4116826784,0.2867946472,0.5544467301,0.7088711098,-0.9129951977,0.5962709997,2.250027005,0.3512128462,1.194178018
ctx_lh_S_orbital-H_Shaped,1.262339757,-0.1306725857,0.3939744441,0.02739488364,0.597284475,-0.8586057917,0.9627287023,0.3888720808,-0.4471152766,0.1091413447,-0.1304395348,1.610929961,-0.008728615804,0.8913109256,-0.050585845,0.5632454229,0.0714093486,1.476955834,0.8603403932
ctx_lh_S_parieto_occipital,-0.1655891467,-0.4988739053,-0.3354485895,0.315307757,-0.7357581743,0.1719176206,0.2849266228,0.02012873696,0.1989350614,0.03825970894,-0.06363599346,-0.3825311895,-0.1799271072,0.7526192763,1.108237694,0.3702556141,0.1207274279,-0.1181943446,-0.5495666658
ctx_lh_S_pericallosal,-0.315692466,1.038595873,-0.8026542101,-0.7534777658,0.249210426,-0.502723194,0.02200986203,-0.07794209107,-0.4000718433,0.1155792953,-0.8689322488,-0.6372926999,-0.1310612443,-0.5559314844,-0.9642720963,0.2109319555,-0.4965570197,-0.3380414454,-0.636961417
ctx_lh_S_postcentral,-0.6183988703,0.6945147567,-0.1539822356,0.6136948422,-0.7093237464,-0.254544771,-0.06097675648,-0.1403763029,0.239519767,-0.3024967517,-0.04379973848,-0.3727794947,-0.1335270907,0.3603611833,-0.3266327208,0.2251274612,-0.395963442,0.1187159588,0.005707708745
